Name,Type,RA,Dec,Const
IC0001,**,00:08:27.05,+27:43:03.6,Peg
IC0002,G,00:11:00.88,-12:49:22.3,Cet
IC0003,G,00:12:06.09,-00:24:54.8,Psc
IC0004,G,00:13:26.94,+17:29:11.2,Peg
IC0005,G,00:17:34.93,-09:32:36.1,Cet
IC0006,G,00:18:55.04,-03:16:33.9,Psc
IC0007,G,00:18:53.16,+10:35:40.9,Psc
IC0008,G,00:19:02.72,-03:13:19.5,Psc
IC0009,G,00:19:43.98,-14:07:18.8,Cet
IC0010,G,00:20:17.34,+59:18:13.6,Cas
IC0011,Dup,00:52:59.35,+56:37:18.8,Cas
IC0012,G,00:20:15.05,-02:39:11.2,Psc
IC0013,G,00:20:20.09,+07:42:01.8,Psc
IC0014,**,00:22:31.29,+10:29:24.9,Psc
IC0015,G,00:27:57.59,-00:03:40.6,Cet
IC0016,G,00:28:07.65,-13:05:38.1,Cet
IC0017,G,00:28:29.78,+02:38:55.0,Cet
IC0018,G,00:28:34.96,-11:35:12.1,Cet
IC0019,G,00:28:39.48,-11:38:26.8,Cet
IC0020,G,00:28:39.68,-13:00:37.1,Cet
IC0021,G,00:29:10.43,-00:09:49.6,Cet
IC0022,G,00:29:33.17,-09:04:50.7,Cet
IC0023,G,00:30:50.80,-12:43:12.9,Cet
IC0024,**,00:31:16.63,+30:50:21.5,And
IC0025,G,00:31:12.09,-00:24:26.5,Cet
IC0026,Dup,00:31:45.94,-13:20:14.9,Cet
IC0027,G,00:33:06.24,-13:22:17.4,Cet
IC0028,G,00:33:08.72,-13:27:22.6,Cet
IC0029,G,00:34:10.80,-02:10:39.5,Cet
IC0030,G,00:34:14.72,-02:05:04.5,Cet
IC0031,G,00:34:24.63,+12:16:05.4,Psc
IC0032,G,00:35:01.69,-02:08:30.1,Cet
IC0033,G,00:35:05.16,-02:08:15.7,Cet
IC0034,G,00:35:36.42,+09:07:27.3,Psc
IC0035,G,00:37:39.88,+10:21:28.7,Psc
IC0036,G,00:37:49.65,-15:26:28.6,Cet
IC0037,G,00:38:34.18,-15:21:31.3,Cet
IC0038,G,00:38:38.76,-15:25:11.4,Cet
IC0039,Dup,00:39:08.40,-14:10:22.2,Cet
IC0040,G,00:39:21.40,+02:27:22.4,Cet
IC0041,G,00:39:40.37,-14:10:27.6,Cet
IC0042,G,00:41:05.84,-15:25:41.1,Cet
IC0043,G,00:42:22.06,+29:38:29.9,And
IC0044,Dup,00:42:15.88,+00:50:43.8,Cet
IC0045,Other,00:42:36.34,+29:39:18.9,And
IC0046,G,00:42:57.97,+27:15:12.5,And
IC0047,G,00:42:55.01,-13:44:26.6,Cet
IC0048,G,00:43:34.47,-08:11:11.4,Cet
IC0049,G,00:43:56.13,+01:51:01.0,Cet
IC0050,G,00:46:05.71,-09:30:10.8,Cet
IC0051,G,00:46:24.22,-13:26:32.5,Cet
IC0052,G,00:48:23.78,+04:05:30.7,Psc
IC0053,G,00:50:40.77,+10:36:01.0,Psc
IC0054,**,00:50:46.85,-02:17:16.0,Cet
IC0055,G,00:51:42.39,+07:43:06.7,Psc
IC0056,G,00:51:29.94,-12:50:39.5,Cet
IC0057,G,00:54:48.50,+11:50:28.3,Psc
IC0058,G,00:55:02.44,-13:40:41.1,Cet
IC0059,RfN,00:57:28.61,+61:08:37.2,Cas
IC0060,G,00:56:04.23,-13:21:28.5,Cet
IC0061,G,00:57:07.20,+07:30:25.5,Psc
IC0062,G,00:58:43.94,+11:48:28.8,Psc
IC0063,HII,00:59:28.84,+60:54:42.1,Cas
IC0064,G,00:59:24.42,+27:03:32.6,Psc
IC0065,G,01:00:55.42,+47:40:55.1,And
IC0066,G,01:00:32.50,+30:47:50.0,Psc
IC0067,NonEx,01:00:17.66,-06:54:38.7,Cet
IC0068,NonEx,01:00:21.65,-06:56:38.8,Cet
IC0069,G,01:01:23.66,+31:02:27.0,Psc
IC0070,G,01:01:03.95,+00:03:02.7,Cet
IC0071,*,01:01:19.26,-06:46:01.8,Cet
IC0072,*,01:01:34.71,-06:46:40.6,Cet
IC0073,G,01:04:52.95,+04:46:01.7,Psc
IC0074,G,01:05:55.95,+04:05:24.9,Psc
IC0075,G,01:07:11.61,+10:50:12.8,Psc
IC0076,G,01:08:11.71,-04:33:16.2,Cet
IC0077,G,01:08:43.75,-15:25:15.3,Cet
IC0078,G,01:08:47.70,-15:50:42.3,Cet
IC0079,G,01:08:49.71,-15:56:54.9,Cet
IC0080,GPair,01:08:50.90,-15:24:27.0,Cet
IC0080 NED01,G,01:08:50.70,-15:24:32.2,Cet
IC0080 NED02,G,01:08:51.13,-15:24:22.7,Cet
IC0081,G,01:09:22.26,-01:41:45.1,Cet
IC0082,G,01:09:05.79,-16:00:01.1,Cet
IC0083,G,01:10:29.78,+01:41:21.7,Cet
IC0084,G,01:11:25.60,+01:38:24.7,Cet
IC0085,*,01:11:49.55,-00:27:08.9,Cet
IC0086,G,01:13:28.52,-16:14:30.0,Cet
IC0087,G,01:14:15.79,+00:45:55.2,Cet
IC0088,G,01:14:31.30,+00:47:30.3,Cet
IC0089,Dup,01:16:03.61,+04:17:38.8,Psc
IC0090,G,01:16:30.35,-07:58:37.7,Cet
IC0091,G,01:18:39.43,+02:33:13.2,Cet
IC0092,Dup,01:19:48.50,+32:46:04.0,Psc
IC0093,G,01:19:02.34,-17:03:37.4,Cet
IC0094,*,01:20:05.49,+32:43:02.4,Psc
IC0095,G,01:19:17.88,-12:34:26.9,Cet
IC0096,G,01:20:33.22,+29:37:02.1,Psc
IC0097,Dup,01:20:02.00,+14:51:39.8,Psc
IC0098,G,01:20:54.88,-12:36:17.0,Cet
IC0099,G,01:22:27.36,-12:57:09.2,Cet
IC0100,G,01:22:53.96,-04:38:34.9,Cet
IC0101,G,01:24:08.55,+09:55:49.9,Psc
IC0102,G,01:24:26.33,+09:53:11.6,Psc
IC0103,G,01:24:36.44,+02:02:39.3,Cet
IC0104,**,01:24:33.60,-01:27:24.2,Cet
IC0105,G,01:24:46.25,+02:04:31.0,Cet
IC0106,Dup,01:24:41.65,-01:35:13.5,Cet
IC0107,G,01:25:24.66,+14:51:52.6,Psc
IC0108,G,01:24:38.96,-12:38:08.1,Cet
IC0109,G,01:25:13.09,+02:03:58.4,Cet
IC0110,Other,01:25:46.60,+33:30:52.9,Psc
IC0111,Other,01:26:00.13,+33:29:49.6,Psc
IC0112,G,01:26:03.02,+11:26:34.7,Psc
IC0113,G,01:26:25.50,+19:11:31.1,Psc
IC0114,G,01:26:22.58,+09:54:35.8,Psc
IC0115,G,01:26:54.44,+19:12:52.9,Psc
IC0116,G,01:26:50.57,-04:58:56.2,Cet
IC0117,Dup,01:27:25.42,-01:54:46.7,Cet
IC0118,G,01:27:36.04,-04:59:50.9,Cet
IC0119,G,01:27:55.02,-02:02:25.7,Cet
IC0120,G,01:28:12.96,-01:54:55.9,Cet
IC0121,G,01:28:21.78,+02:30:46.9,Cet
IC0122,G,01:28:13.20,-14:50:20.0,Cet
IC0123,G,01:28:51.46,+02:26:47.2,Cet
IC0124,*,01:29:09.08,-01:56:13.3,Cet
IC0125,G,01:29:18.35,-13:16:47.4,Cet
IC0126,G,01:29:47.86,-01:59:01.5,Cet
IC0127,G,01:29:47.61,-06:58:48.2,Cet
IC0128,G,01:31:23.87,-12:37:27.8,Cet
IC0129,G,01:31:31.26,-12:39:15.8,Cet
IC0130,G,01:31:28.74,-15:35:29.8,Cet
IC0131,HII,01:33:14.58,+30:45:11.7,Tri
IC0132,HII,01:33:15.92,+30:56:44.2,Tri
IC0133,HII,01:33:15.18,+30:53:18.2,Tri
IC0134,*,01:33:25.00,+30:54:02.4,Tri
IC0135,HII,01:34:15.53,+30:37:12.3,Tri
IC0136,*Ass,01:34:16.04,+30:33:43.4,Tri
IC0137,*Ass,01:33:38.91,+30:31:21.0,Tri
IC0138,G,01:33:01.98,-00:41:23.4,Cet
IC0139,*Ass,01:33:59.24,+30:34:02.8,Tri
IC0140,*Ass,01:33:58.17,+30:33:00.5,Tri
IC0141,G,01:32:51.71,-14:48:52.6,Cet
IC0142,HII,01:33:55.53,+30:45:28.1,Tri
IC0143,HII,01:34:10.93,+30:46:35.1,Tri
IC0144,G,01:37:40.85,-13:18:52.8,Cet
IC0145,G,01:38:38.48,+00:44:29.4,Cet
IC0146,Dup,01:38:39.79,-17:49:52.3,Cet
IC0147,G,01:39:59.75,-14:51:45.5,Cet
IC0148,G,01:42:26.97,+13:58:37.3,Psc
IC0149,G,01:42:25.38,-16:18:01.5,Cet
IC0150,G,01:42:57.52,+04:12:00.6,Psc
IC0151,Other,01:43:57.47,+13:12:09.4,Psc
IC0152,Other,01:44:07.39,+13:02:09.1,Psc
IC0153,Other,01:44:36.21,+12:37:44.2,Psc
IC0154,G,01:45:16.27,+10:38:57.1,Psc
IC0155,Other,01:47:32.33,+60:36:39.0,Cas
IC0156,G,01:45:29.21,+10:33:09.8,Psc
IC0157,Other,01:45:42.40,+12:52:24.0,Psc
IC0158,G,01:45:53.52,-06:56:08.5,Cet
IC0159,G,01:46:25.05,-08:38:11.8,Cet
IC0160,G,01:46:29.56,-13:14:51.8,Cet
IC0161,G,01:48:43.74,+10:30:28.4,Psc
IC0162,G,01:48:53.43,+10:31:17.8,Psc
IC0163,G,01:49:14.99,+20:42:40.7,Ari
IC0164,G,01:49:08.41,-03:54:15.8,Cet
IC0165,Dup,01:50:14.02,+27:38:44.4,Tri
IC0166,OCl,01:52:23.82,+61:51:09.4,Cas
IC0167,G,01:51:08.56,+21:54:46.1,Ari
IC0168,G,01:50:27.63,-08:31:22.6,Cet
IC0169,G,01:50:39.36,-12:40:46.6,Cet
IC0170,G,01:51:57.52,-08:31:03.4,Cet
IC0171,G,01:55:10.21,+35:16:54.8,Tri
IC0172,G,01:54:54.23,+00:48:40.4,Cet
IC0173,G,01:55:57.15,+01:17:06.6,Cet
IC0174,G,01:56:16.08,+03:45:42.7,Psc
IC0175,G,01:56:18.86,+01:19:56.7,Cet
IC0176,G,01:56:53.40,-02:01:08.3,Cet
IC0177,G,01:57:00.58,-00:05:23.5,Cet
IC0178,G,01:58:54.87,+36:40:28.9,And
IC0179,G,02:00:11.50,+38:01:16.8,And
IC0180,G,02:00:00.41,+23:36:15.6,Ari
IC0181,G,02:00:02.33,+23:39:31.1,Ari
IC0182,G,01:59:51.81,+07:24:42.6,Psc
IC0183,G,01:59:34.05,-05:20:49.7,Cet
IC0184,G,01:59:51.23,-06:50:25.4,Cet
IC0185,G,02:00:06.04,-01:31:42.0,Cet
IC0186,GTrpl,02:00:24.50,-01:33:06.2,Cet
IC0186A,G,02:00:24.00,-01:33:10.3,Cet
IC0186B,G,02:00:25.45,-01:32:59.3,Cet
IC0186 NED03,G,02:00:25.40,-01:33:03.0,Cet
IC0187,G,02:01:30.76,+26:28:51.5,Tri
IC0188,G,02:01:46.50,+26:32:48.8,Tri
IC0189,G,02:01:52.91,+23:33:05.4,Ari
IC0190,G,02:02:07.28,+23:32:59.4,Ari
IC0191,Dup,02:02:29.33,+18:22:22.8,Ari
IC0192,G,02:02:32.39,+16:00:51.0,Ari
IC0193,G,02:02:30.98,+11:05:35.1,Ari
IC0194,G,02:03:05.22,+02:36:51.3,Psc
IC0195,G,02:03:44.61,+14:42:33.4,Ari
IC0196,G,02:03:49.80,+14:44:20.9,Ari
IC0197,G,02:04:04.93,+02:47:12.6,Psc
IC0198,G,02:06:03.12,+09:17:44.0,Psc
IC0199,G,02:06:19.40,+09:13:38.7,Psc
IC0200,G,02:05:26.64,+31:10:31.2,Tri
IC0201,G,02:07:15.29,+09:06:54.2,Cet
IC0202,G,02:07:28.66,+09:10:05.9,Cet
IC0203,G,02:07:29.65,+09:07:21.5,Cet
IC0204,G,02:07:27.08,-01:25:48.7,Cet
IC0205,G,02:07:27.43,-02:05:28.6,Cet
IC0206,G,02:09:30.68,-06:58:06.2,Cet
IC0207,G,02:09:39.35,-06:55:19.9,Cet
IC0208,G,02:08:27.74,+06:23:41.7,Cet
IC0209,G,02:08:58.71,-07:03:32.1,Cet
IC0210,G,02:09:28.28,-09:40:49.2,Cet
IC0211,G,02:11:08.00,+03:51:09.0,Cet
IC0212,G,02:13:38.26,+16:35:38.2,Ari
IC0213,G,02:14:04.28,+16:27:21.2,Ari
IC0214,G,02:14:05.59,+05:10:23.7,Cet
IC0215,G,02:14:09.46,-06:48:22.8,Cet
IC0216,G,02:15:55.52,-02:00:54.4,Cet
IC0217,G,02:16:10.44,-11:55:36.2,Cet
IC0218,G,02:17:07.25,+01:16:56.4,Cet
IC0219,G,02:18:38.83,-06:54:12.0,Cet
IC0220,G,02:19:11.73,-12:46:53.9,Cet
IC0221,G,02:22:40.90,+28:15:25.1,Tri
IC0222,G,02:22:47.85,+11:38:18.0,Ari
IC0223,G,02:22:01.10,-20:44:45.3,Cet
IC0224,G,02:24:45.14,-12:33:52.1,Cet
IC0225,G,02:26:28.29,+01:09:37.9,Cet
IC0226,G,02:27:45.93,+28:12:31.8,Tri
IC0227,G,02:28:03.61,+28:10:31.2,Tri
IC0228,Dup,02:26:41.53,-14:30:56.3,Cet
IC0229,Other,02:27:22.09,-23:48:46.8,Cet
IC0230,G,02:28:47.29,-10:49:52.9,Cet
IC0231,G,02:29:56.39,+01:10:44.7,Cet
IC0232,G,02:31:11.62,+01:15:56.3,Cet
IC0233,G,02:31:40.70,+02:48:35.7,Cet
IC0234,G,02:31:37.72,-00:08:24.9,Cet
IC0235,G,02:32:50.79,+20:38:28.5,Ari
IC0236,G,02:32:55.81,-00:07:52.5,Cet
IC0237,G,02:33:31.57,+01:08:23.6,Cet
IC0238,G,02:35:22.68,+12:50:15.8,Ari
IC0239,G,02:36:27.88,+38:58:11.7,And
IC0240,Other,02:38:58.57,+41:43:09.9,Per
IC0241,G,02:37:54.50,+02:19:40.9,Cet
IC0242,**,02:38:23.93,-06:56:02.2,Cet
IC0243,G,02:38:32.16,-06:54:07.7,Cet
IC0244,G,02:39:24.73,+02:43:43.7,Cet
IC0245,G,02:38:54.64,-14:18:20.0,Cet
IC0246,G,02:40:28.60,+02:28:43.1,Cet
IC0247,G,02:40:08.78,-11:44:01.6,Cet
IC0248,G,02:41:25.83,+17:48:44.0,Ari
IC0249,Dup,02:41:02.49,-06:56:09.3,Cet
IC0250,G,02:40:54.27,-13:18:48.8,Cet
IC0251,G,02:41:13.85,-14:57:28.2,Cet
IC0252,G,02:41:45.13,-14:50:53.7,Cet
IC0253,G,02:42:05.75,-15:02:48.6,Cet
IC0254,G,02:42:04.98,-15:06:23.9,Cet
IC0255,G,02:47:03.21,+16:17:16.9,Ari
IC0256,G,02:49:40.30,+46:57:16.8,Per
IC0257,G,02:49:45.44,+46:58:34.3,Per
IC0258,G,02:49:46.10,+41:03:06.0,Per
IC0259,G,02:49:40.88,+41:03:18.4,Per
IC0260,G,02:51:00.88,+46:57:17.2,Per
IC0261,Dup,02:49:04.09,-14:28:14.5,Eri
IC0262,G,02:51:43.27,+42:49:41.8,Per
IC0263,G,02:49:39.96,-00:04:11.5,Cet
IC0264,G,02:48:47.62,-00:06:33.1,Cet
IC0265,G,02:54:43.98,+41:39:19.2,Per
IC0266,G,02:55:04.83,+42:15:44.4,Per
IC0267,G,02:53:50.25,+12:50:57.2,Ari
IC0268,G,02:55:26.95,-14:06:10.8,Eri
IC0269,G,02:55:26.49,-14:04:00.5,Eri
IC0270,G,02:55:44.19,-14:12:28.4,Eri
IC0271,G,02:55:59.45,-12:00:28.3,Eri
IC0272,G,02:56:06.44,-14:11:11.9,Eri
IC0273,G,02:57:10.78,+02:46:30.2,Cet
IC0274,Other,03:00:05.23,+44:12:47.4,Per
IC0275,GTrpl,03:00:57.30,+44:20:54.0,Per
IC0275 NED01,G,03:00:55.87,+44:20:46.7,Per
IC0275 NED02,G,03:00:55.90,+44:21:01.3,Per
IC0275 NED03,G,03:00:58.67,+44:21:00.6,Per
IC0276,G,02:58:41.06,-15:42:11.2,Eri
IC0277,G,02:59:50.60,+02:46:16.9,Cet
IC0278,G,03:01:30.44,+37:45:57.6,Per
IC0279,G,03:01:12.21,+16:12:33.2,Ari
IC0280,Other,03:03:03.61,+42:21:33.5,Per
IC0281,Dup,03:04:37.13,+42:21:46.2,Per
IC0282,Dup,03:06:13.24,+41:50:56.2,Per
IC0283,G,03:03:50.46,-00:12:16.0,Cet
IC0284,G,03:06:09.91,+42:22:18.9,Per
IC0285,G,03:04:06.22,-12:00:55.6,Eri
IC0286,Other,03:04:47.22,-06:29:04.3,Eri
IC0287,G,03:04:57.82,-12:04:13.6,Eri
IC0288,G,03:07:32.91,+42:23:15.2,Per
IC0289,PN,03:10:19.26,+61:19:00.4,Cas
IC0290,G,03:09:42.74,+40:58:27.2,Per
IC0291,G,03:07:26.45,-12:35:14.8,Eri
IC0292,G,03:10:12.92,+40:45:56.4,Per
IC0293,G,03:10:56.16,+41:08:13.6,Per
IC0294,G,03:11:03.11,+40:37:19.6,Per
IC0295,Other,03:11:00.74,+40:36:54.9,Per
IC0296,Other,03:11:04.77,+40:37:36.7,Per
IC0297,**,03:13:18.38,+42:08:55.6,Per
IC0298,GPair,03:11:18.90,+01:18:53.0,Cet
IC0298A,G,03:11:18.50,+01:18:54.1,Cet
IC0298B,G,03:11:19.53,+01:18:48.2,Cet
IC0299,G,03:11:02.55,-13:06:34.5,Eri
IC0300,G,03:14:16.02,+42:24:55.2,Per
IC0301,G,03:14:47.71,+42:13:21.5,Per
IC0302,G,03:12:51.27,+04:42:25.3,Cet
IC0303,G,03:12:40.87,-11:41:23.8,Eri
IC0304,G,03:15:01.37,+37:52:54.6,Per
IC0305,G,03:15:03.80,+37:51:36.0,Per
IC0306,G,03:13:00.21,-11:42:56.5,Eri
IC0307,G,03:13:45.21,-00:14:29.2,Cet
IC0308,G,03:16:15.83,+41:10:50.7,Per
IC0309,G,03:16:06.29,+40:48:16.4,Per
IC0310,G,03:16:42.98,+41:19:29.9,Per
IC0311,G,03:16:46.73,+40:00:13.0,Per
IC0312,G,03:18:08.61,+41:45:14.8,Per
IC0313,G,03:20:57.90,+41:53:37.8,Per
IC0314,Dup,03:18:49.81,-01:58:24.0,Eri
IC0315,G,03:19:09.34,+04:02:18.8,Cet
IC0316,GPair,03:21:19.90,+41:55:50.0,Per
IC0316 NED01,G,03:21:19.95,+41:55:44.2,Per
IC0316 NED02,G,03:21:19.90,+41:55:54.9,Per
IC0317,G,03:18:55.51,-12:44:24.7,Eri
IC0318,G,03:20:43.83,-14:34:05.6,Eri
IC0319,*,03:23:29.05,+41:24:58.9,Per
IC0320,G,03:25:59.18,+40:47:20.5,Per
IC0321,G,03:24:29.59,-14:59:07.7,Eri
IC0322,G,03:26:00.47,+03:40:50.0,Tau
IC0323,Other,03:29:33.55,+41:51:18.3,Per
IC0324,Dup,03:26:28.29,-21:21:19.1,Eri
IC0325,G,03:30:48.86,-07:02:48.2,Eri
IC0326,G,03:30:36.61,-14:25:32.0,Eri
IC0327,G,03:31:09.98,-14:41:31.7,Eri
IC0328,G,03:31:10.95,-14:38:16.3,Eri
IC0329,G,03:32:01.37,+00:16:46.0,Tau
IC0330,G,03:32:08.03,+00:21:12.2,Tau
IC0331,G,03:32:19.08,+00:16:57.2,Tau
IC0332,G,03:32:37.42,+01:22:57.2,Tau
IC0333,Other,03:34:03.38,-04:35:05.6,Eri
IC0334,G,03:45:17.08,+76:38:17.9,Cam
IC0335,G,03:35:31.04,-34:26:49.4,For
IC0336,Neb,03:37:57.04,+23:21:47.3,Tau
IC0337,Other,03:37:04.30,-06:43:16.3,Eri
IC0338,G,03:37:38.10,+03:07:07.6,Tau
IC0339,*,03:38:02.23,-18:23:52.0,Eri
IC0340,G,03:39:29.11,-13:06:54.4,Eri
IC0341,Neb,03:40:55.69,+21:57:36.7,Tau
IC0342,G,03:46:48.50,+68:05:46.9,Cam
IC0343,G,03:40:07.14,-18:26:36.5,Eri
IC0344,G,03:41:29.53,-04:39:57.1,Eri
IC0345,G,03:41:09.13,-18:18:50.9,Eri
IC0346,G,03:41:44.66,-18:16:01.1,Eri
IC0347,G,03:42:32.65,-04:17:55.1,Eri
IC0348,Cl+N,03:44:34.19,+32:09:46.2,Per
IC0349,RfN,03:46:20.11,+23:56:23.3,Tau
IC0350,G,03:44:36.65,-11:48:02.7,Eri
IC0351,PN,03:47:33.01,+35:02:48.9,Per
IC0352,G,03:47:37.43,-08:43:54.6,Eri
IC0353,Neb,03:53:01.07,+25:50:52.8,Tau
IC0354,Neb,03:53:57.91,+23:08:49.2,Tau
IC0355,G,03:53:46.26,+19:58:26.1,Tau
IC0356,G,04:07:46.91,+69:48:44.8,Cam
IC0357,G,04:03:44.00,+22:09:32.8,Tau
IC0358,G,04:03:42.88,+19:53:41.8,Tau
IC0359,G,04:12:28.36,+27:42:07.1,Tau
IC0359A,RfN,04:18:41.00,+28:17:24.0,Tau
IC0360,Neb,04:09:02.57,+26:07:52.3,Tau
IC0361,OCl,04:18:50.70,+58:14:58.2,Cam
IC0362,G,04:16:42.43,-12:12:00.4,Eri
IC0363,G,04:18:55.42,+03:01:58.9,Tau
IC0364,G,04:19:06.70,+03:11:20.2,Tau
IC0365,G,04:19:14.14,+03:20:54.0,Tau
IC0366,G,04:19:41.54,+02:21:35.3,Tau
IC0367,G,04:20:40.99,-14:46:51.8,Eri
IC0368,G,04:22:42.72,-12:36:54.6,Eri
IC0369,G,04:23:28.22,-11:47:24.3,Eri
IC0370,G,04:24:01.67,-09:23:41.4,Eri
IC0371,*,04:30:12.59,-00:33:39.6,Eri
IC0372,G,04:30:04.24,-05:00:35.9,Eri
IC0373,G,04:30:42.76,-04:52:12.9,Eri
IC0374,G,04:32:32.75,+16:38:03.0,Tau
IC0375,G,04:31:03.14,-12:58:26.3,Eri
IC0376,G,04:31:13.79,-12:26:00.1,Eri
IC0377,G,04:31:16.54,-12:27:18.3,Eri
IC0378,G,04:31:27.92,-12:17:59.1,Eri
IC0379,G,04:31:50.93,-07:14:18.1,Eri
IC0380,G,04:31:41.32,-12:55:37.3,Eri
IC0381,Dup,04:44:28.50,+75:38:23.1,Cam
IC0382,G,04:37:55.55,-09:31:09.6,Eri
IC0383,G,04:38:58.03,+09:53:33.1,Tau
IC0384,G,04:39:18.28,-07:50:20.8,Eri
IC0385,G,04:39:31.46,-07:05:50.9,Eri
IC0386,Dup,04:39:58.58,-09:27:22.4,Eri
IC0387,G,04:41:44.21,-07:05:10.3,Eri
IC0388,GPair,04:41:53.33,-07:18:19.9,Eri
IC0388 NED01,G,04:41:52.42,-07:18:16.7,Eri
IC0388 NED02,G,04:41:54.32,-07:18:23.3,Eri
IC0389,G,04:41:59.62,-07:18:41.3,Eri
IC0390,G,04:42:03.87,-07:12:23.2,Eri
IC0391,G,04:57:21.13,+78:11:19.8,Cam
IC0392,G,04:46:25.76,+03:30:20.0,Ori
IC0393,G,04:47:51.80,-15:31:30.7,Eri
IC0394,Other,04:48:50.71,-06:16:48.7,Eri
IC0395,Dup,04:49:34.03,+00:15:10.3,Ori
IC0396,G,04:57:58.99,+68:19:24.2,Cam
IC0397,Other,05:01:06.63,+40:25:29.6,Aur
IC0398,G,04:58:12.56,-07:46:48.9,Eri
IC0399,G,05:01:44.01,-04:17:19.5,Eri
IC0400,G,05:03:45.64,-15:49:08.7,Lep
IC0401,G,05:04:19.64,-10:04:35.5,Eri
IC0402,G,05:06:14.83,-09:06:26.7,Eri
IC0403,Other,05:15:15.69,+39:58:19.6,Aur
IC0404,G,05:13:19.60,+09:45:17.7,Ori
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur
IC0406,Other,05:17:49.00,+39:53:09.7,Aur
IC0407,G,05:17:42.61,-15:31:24.4,Lep
IC0408,G,05:19:44.86,-25:03:51.6,Lep
IC0409,GPair,05:19:33.55,+03:19:06.2,Ori
IC0410,Neb,05:22:42.00,+33:22:00.0,Aur
IC0411,G,05:20:18.61,-25:19:28.2,Lep
IC0412,G,05:21:56.70,+03:29:11.0,Ori
IC0413,G,05:21:58.78,+03:28:55.8,Ori
IC0414,G,05:21:54.96,+03:20:31.3,Ori
IC0415,G,05:21:21.63,-15:32:33.3,Lep
IC0416,G,05:23:56.38,-17:15:37.5,Lep
IC0417,HII,05:28:06.00,+34:25:26.2,Aur
IC0418,PN,05:27:28.19,-12:41:50.2,Lep
IC0419,Other,05:30:52.02,+30:07:04.5,Aur
IC0420,Neb,05:32:09.50,-04:30:17.1,Ori
IC0421,G,05:32:08.58,-07:55:06.0,Ori
IC0422,G,05:32:18.55,-17:13:25.9,Lep
IC0423,Neb,05:33:22.01,-00:36:52.2,Ori
IC0424,Neb,05:33:37.24,-00:24:47.3,Ori
IC0425,Other,05:37:09.92,+32:25:46.8,Aur
IC0426,Neb,05:36:31.38,-00:17:53.9,Ori
IC0427,Neb,05:36:18.02,-06:36:59.2,Ori
IC0428,Neb,05:36:24.21,-06:27:05.6,Ori
IC0429,Neb,05:38:18.86,-07:02:25.8,Ori
IC0430,Neb,05:38:35.97,-07:04:59.2,Ori
IC0431,RfN,05:40:14.03,-01:27:46.1,Ori
IC0432,RfN,05:40:55.98,-01:30:25.2,Ori
IC0433,G,05:40:31.35,-11:39:56.1,Lep
IC0434,HII,05:41:00.88,-02:27:13.6,Ori
IC0435,RfN,05:43:00.57,-02:18:45.4,Ori
IC0436,Other,05:53:40.08,+38:37:29.2,Aur
IC0437,G,05:51:37.40,-12:33:53.9,Lep
IC0438,G,05:53:00.08,-17:52:33.9,Lep
IC0439,Other,05:56:39.51,+32:01:21.7,Aur
IC0440,G,06:19:13.31,+80:04:06.5,Cam
IC0441,G,06:02:42.63,-12:29:56.9,Lep
IC0442,G,06:36:11.89,+82:58:05.7,Cam
IC0443,SNR,06:16:37.41,+22:31:54.0,Gem
IC0444,RfN,06:18:34.00,+23:18:48.0,Gem
IC0445,G,06:37:21.25,+67:51:35.5,Cam
IC0446,Cl+N,06:31:06.18,+10:27:33.4,Mon
IC0447,HII,06:31:00.32,+09:53:50.8,Mon
IC0448,HII,06:32:45.34,+07:23:19.1,Mon
IC0449,G,06:45:41.11,+71:20:37.8,Cam
IC0450,G,06:52:12.25,+74:25:37.5,Cam
IC0451,G,06:52:52.01,+74:28:50.6,Cam
IC0452,Dup,06:48:39.11,-16:54:05.8,CMa
IC0453,*,06:49:11.45,-16:54:24.3,CMa
IC0454,G,06:51:06.30,+12:55:19.3,Gem
IC0455,G,07:34:57.68,+85:32:13.9,Cep
IC0456,G,07:00:17.54,-30:09:49.6,CMa
IC0457,Dup,07:09:28.40,+50:09:09.1,Lyn
IC0458,G,07:10:34.15,+50:07:08.1,Lyn
IC0459,G,07:10:38.69,+50:10:38.4,Lyn
IC0460,G,07:10:44.27,+50:12:08.8,Lyn
IC0461,G,07:10:45.04,+50:04:53.1,Lyn
IC0462,*,07:10:55.81,+50:10:51.0,Lyn
IC0463,G,07:11:00.89,+50:07:03.7,Lyn
IC0464,G,07:11:04.75,+50:08:12.8,Lyn
IC0465,Dup,07:11:33.65,+50:14:53.7,Lyn
IC0466,HII,07:08:38.80,-04:19:04.8,Mon
IC0467,G,07:30:18.39,+79:52:21.1,Cam
IC0468,Other,07:17:19.00,-13:13:07.3,CMa
IC0469,G,07:55:59.08,+85:09:32.1,Cep
IC0470,**,07:23:31.50,+46:04:43.2,Lyn
IC0471,G,07:43:36.45,+49:40:03.2,Lyn
IC0472,G,07:43:50.34,+49:36:51.1,Lyn
IC0473,Other,07:42:24.62,+09:15:19.0,CMi
IC0474,G,07:46:07.31,+26:30:18.4,Gem
IC0475,G,07:47:09.23,+30:29:19.7,Gem
IC0476,G,07:47:16.33,+26:57:03.5,Gem
IC0477,G,07:52:06.93,+23:28:58.9,Gem
