Name,Type,RA,Dec,Const
NGC3176,Other,10:15:17.54,-19:01:57.2,Hya
NGC3177,G,10:16:34.14,+21:07:23.0,Leo
NGC3178,G,10:16:09.17,-15:47:28.6,Hya
NGC3179,G,10:17:57.21,+41:06:51.5,UMa
NGC3180,HII,10:18:09.67,+41:26:42.1,UMa
NGC3181,HII,10:18:11.51,+41:24:45.7,UMa
NGC3182,G,10:19:33.02,+58:12:20.6,UMa
NGC3183,G,10:21:49.00,+74:10:36.7,Dra
NGC3184,G,10:18:16.86,+41:25:26.6,UMa
NGC3185,G,10:17:38.57,+21:41:17.7,Leo
NGC3186,G,10:15:53.39,+06:57:49.5,Leo
NGC3187,G,10:17:47.86,+21:52:24.0,Leo
NGC3188,G,10:19:42.81,+57:25:24.5,UMa
NGC3188A,G,10:19:38.28,+57:25:06.9,UMa
NGC3189,G,10:18:05.63,+21:49:56.3,Leo
NGC3190,Dup,10:18:05.63,+21:49:56.3,Leo
NGC3191,G,10:19:05.13,+46:27:14.8,UMa
NGC3192,Dup,10:19:05.13,+46:27:14.8,UMa
NGC3193,G,10:18:24.90,+21:53:38.3,Leo
NGC3194,Dup,10:17:39.85,+74:20:50.6,Dra
NGC3195,PN,10:09:20.98,-80:51:30.9,Cha
NGC3196,G,10:18:49.03,+27:40:08.2,Leo
NGC3197,G,10:14:27.67,+77:49:12.9,Dra
NGC3198,G,10:19:54.95,+45:32:58.6,UMa
NGC3199,Neb,10:17:24.43,-57:55:20.0,Car
NGC3200,G,10:18:36.55,-17:58:57.1,Hya
NGC3201,GCl,10:17:36.76,-46:24:40.4,Vel
NGC3202,G,10:20:31.74,+43:01:17.8,UMa
NGC3203,G,10:19:33.83,-26:41:56.0,Hya
NGC3204,G,10:20:11.08,+27:49:01.4,Leo
NGC3205,G,10:20:49.97,+42:58:19.4,UMa
NGC3206,G,10:21:47.59,+56:55:49.5,UMa
NGC3207,G,10:21:00.55,+42:59:07.1,UMa
NGC3208,G,10:19:41.29,-25:48:53.1,Hya
NGC3209,G,10:20:38.42,+25:30:17.9,Leo
NGC3210,**,10:27:59.20,+79:49:57.1,Dra
NGC3211,PN,10:17:50.51,-62:40:12.2,Car
NGC3212,G,10:28:16.46,+79:49:24.2,Dra
NGC3213,G,10:21:17.35,+19:39:06.4,Leo
NGC3214,G,10:23:08.79,+57:02:20.7,UMa
NGC3215,G,10:28:40.58,+79:48:47.1,Dra
NGC3216,G,10:21:41.23,+23:55:23.0,Leo
NGC3217,G,10:23:32.62,+10:57:35.0,Leo
NGC3218,Dup,10:21:49.00,+74:10:36.7,Dra
NGC3219,G,10:22:37.44,+38:34:45.0,LMi
NGC3220,G,10:23:44.66,+57:01:36.7,UMa
NGC3221,G,10:22:19.98,+21:34:10.5,Leo
NGC3222,G,10:22:34.51,+19:53:13.3,Leo
NGC3223,G,10:21:35.08,-34:16:00.5,Ant
NGC3224,G,10:21:41.19,-34:41:48.4,Ant
NGC3225,G,10:25:09.90,+58:09:00.0,UMa
NGC3226,G,10:23:27.01,+19:53:54.7,Leo
NGC3227,G,10:23:30.58,+19:51:54.2,Leo
NGC3228,OCl,10:21:22.24,-51:43:21.3,Vel
NGC3229,Other,10:23:24.36,+00:03:53.3,Sex
NGC3230,G,10:23:43.96,+12:34:04.0,Leo
NGC3231,OCl,10:26:57.85,+66:48:54.6,UMa
NGC3232,G,10:24:24.23,+28:01:34.1,LMi
NGC3233,G,10:21:57.46,-22:16:03.9,Hya
NGC3234,G,10:24:59.31,+28:01:26.1,LMi
NGC3235,Dup,10:24:59.31,+28:01:26.1,LMi
NGC3236,G,10:26:48.51,+61:16:22.5,UMa
NGC3237,G,10:25:43.30,+39:38:47.0,UMa
NGC3238,G,10:26:42.99,+57:13:34.8,UMa
NGC3239,G,10:25:04.89,+17:09:48.9,Leo
NGC3240,G,10:24:30.63,-21:47:27.7,Hya
NGC3241,G,10:24:16.96,-32:28:57.4,Ant
NGC3242,PN,10:24:46.08,-18:38:32.0,Hya
NGC3243,G,10:26:21.47,-02:37:19.9,Sex
NGC3244,G,10:25:28.84,-39:49:39.2,Ant
NGC3245,G,10:27:18.39,+28:30:26.8,LMi
NGC3245A,G,10:27:01.13,+28:38:21.6,LMi
NGC3246,G,10:26:41.81,+03:51:42.9,Sex
NGC3247,HII,10:24:14.00,-57:45:48.0,Car
NGC3248,G,10:27:45.44,+22:50:49.9,Leo
NGC3249,G,10:26:22.21,-34:57:49.3,Ant
NGC3250,G,10:26:32.28,-39:56:38.2,Ant
NGC3250A,G,10:27:53.73,-40:04:52.8,Ant
NGC3250B,G,10:27:44.77,-40:26:06.1,Vel
